"CODE","NAME","PARENT","TYPE_PARAM","STATUS","IMAGE","PARAM_ORDER","GROUP_TYPE","LEVEL_NODE","SUB_CODE","MODIFIED_DATE","START_TIME","END_TIME","ID","DEPT_ID","PARENT_DEPT_ID","DEPT_ORDER","STANDARD_NAME","PARAM_ORDER_SMS"
B651004,H.Lộc Ninh,B651,DTLV,1,,6,DTLV,,,,,,101033,685,343,,H.Lộc Ninh,
B651011,H.Phú Riềng,B651,DTLV,1,,7,DTLV,,,,,,101034,288741,343,,H.Phú Riềng,
B651006,TX.Bình Long,B651,DTLV,1,,8,DTLV,,,,,,101035,687,343,,TX.Bình Long,
B651008,TX.Chơn Thành,B651,DTLV,1,,9,DTLV,,,,,,101036,512,343,,TX.Chơn Thành,
B651003,TX.Phước Long,B651,DTLV,1,,10,DTLV,,,,,,101037,684,343,,TX.Phước Long,
B075001,TP.Bến Tre,B075,DTLV,1,,0,DTLV,,,,,,101038,884,341,,TP.Bến Tre,
B075007,H.Ba Tri,B075,DTLV,1,,1,DTLV,,,,,,101039,890,341,,H.Ba Tri,
B075006,H.Bình Đại,B075,DTLV,1,,2,DTLV,,,,,,101040,889,341,,H.Bình Đại,
B075002,H.Châu Thành,B075,DTLV,1,,3,DTLV,,,,,,101041,885,341,,H.Châu Thành,
B075003,H.Chợ Lách,B075,DTLV,1,,4,DTLV,,,,,,101042,886,341,,H.Chợ Lách,
B075005,H.Giồng Trôm,B075,DTLV,1,,5,DTLV,,,,,,101043,888,341,,H.Giồng Trôm,
B075009,H.Mỏ Cày Bắc,B075,DTLV,1,,6,DTLV,,,,,,101044,14249,341,,H.Mỏ Cày Bắc,
B075004,H.Mỏ Cày Nam,B075,DTLV,1,,7,DTLV,,,,,,101045,887,341,,H.Mỏ Cày Nam,
B075008,H.Thạnh Phú,B075,DTLV,1,,8,DTLV,,,,,,101046,891,341,,H.Thạnh Phú,
B062001,TP.Phan Thiết,B062,DTLV,1,,0,DTLV,,,,,,101047,704,323,,TP.Phan Thiết,
B062003,H.Bắc Bình,B062,DTLV,1,,1,DTLV,,,,,,101048,706,323,,H.Bắc Bình,
B062008,H.Đức Linh,B062,DTLV,1,,2,DTLV,,,,,,101049,711,323,,H.Đức Linh,
B062007,H.Hàm Tân,B062,DTLV,1,,3,DTLV,,,,,,101050,710,323,,H.Hàm Tân,
B062004,H.Hàm Thuận Bắc,B062,DTLV,1,,4,DTLV,,,,,,101051,707,323,,H.Hàm Thuận Bắc,
B062005,H.Hàm Thuận Nam,B062,DTLV,1,,5,DTLV,,,,,,101052,708,323,,H.Hàm Thuận Nam,
B062009,H.Phú Quý,B062,DTLV,1,,6,DTLV,,,,,,101053,712,323,,H.Phú Quý,
B062006,H.Tánh Linh,B062,DTLV,1,,7,DTLV,,,,,,101054,709,323,,H.Tánh Linh,
B062002,H.Tuy Phong,B062,DTLV,1,,8,DTLV,,,,,,101055,705,323,,H.Tuy Phong,
B062010,TX.La Gi,B062,DTLV,1,,9,DTLV,,,,,,101056,441,323,,TX.La Gi,
C026001,TP.Cao Bằng,C026,DTLV,1,,0,DTLV,,,,,,101057,789,296,,TP.Cao Bằng,
C026002,H.Bảo Lạc,C026,DTLV,1,,1,DTLV,,,,,,101058,790,296,,H.Bảo Lạc,
C026003,H.Bảo Lâm,C026,DTLV,1,,2,DTLV,,,,,,101059,791,296,,H.Bảo Lâm,
C026011,H.Hạ Lang,C026,DTLV,1,,3,DTLV,,,,,,101060,799,296,,H.Hạ Lang,
C026004,H.Hà Quảng,C026,DTLV,1,,4,DTLV,,,,,,101061,792,296,,H.Hà Quảng,
C026009,H.Hòa An,C026,DTLV,1,,5,DTLV,,,,,,101062,797,296,,H.Hòa An,
C026008,H.Nguyên Bình,C026,DTLV,1,,6,DTLV,,,,,,101063,796,296,,H.Nguyên Bình,
C026010,H.Quảng Hoà,C026,DTLV,1,,7,DTLV,,,,,,101064,798,296,,H.Quảng Hoà,
C026012,H.Thạch An,C026,DTLV,1,,8,DTLV,,,,,,101065,800,296,,H.Thạch An,
C026007,H.Trùng Khánh,C026,DTLV,1,,9,DTLV,,,,,,101066,795,296,,H.Trùng Khánh,
C780001,TP.Cà Mau,C780,DTLV,1,,0,DTLV,,,,,,101067,969,346,,TP.Cà Mau,
C780005,H.Cái Nước,C780,DTLV,1,,1,DTLV,,,,,,101068,973,346,,H.Cái Nước,
C780006,H.Đầm Dơi,C780,DTLV,1,,2,DTLV,,,,,,101069,974,346,,H.Đầm Dơi,
C780008,H.Năm Căn,C780,DTLV,1,,3,DTLV,,,,,,101070,1081,346,,H.Năm Căn,
C780007,H.Ngọc Hiển,C780,DTLV,1,,4,DTLV,,,,,,101071,975,346,,H.Ngọc Hiển,
C780009,H.Phú Tân,C780,DTLV,1,,5,DTLV,,,,,,101072,425,346,,H.Phú Tân,
C780002,H.Thới Bình,C780,DTLV,1,,6,DTLV,,,,,,101073,970,346,,H.Thới Bình,
C780004,H.Trần Văn Thời,C780,DTLV,1,,7,DTLV,,,,,,101074,972,346,,H.Trần Văn Thời,
