"ID","CODE","NAME","PARENT_ID","PARENT_CODE","DEPT_LEVEL","DEPT_LEVEL_CODE_FULL","DEPT_LEVEL_NAME_FULL","DESCRIPTION","STATUS","COUNTRY_ID","COUNTRY_CODE","COUNTRY_NAME","PROVINCE_ID","PROVINCE_CODE","PROVINCE_NAME","COMPANY_ID","COMPANY_CODE","COMPANY_NAME","UPDATE_TIME","UPDATE_USER","START_TIME","END_TIME","STANDARD_NAME"
850,L072009,Bến Lức,349,L072,4,/TD/VTT/L072/L072009/,/TD/VTT/Long An/Bến Lức/,,1,281,VN,Việt Nam,850,,,,,,,,,,Bến Lức
849,L072008,Đức Hòa,349,L072,4,/TD/VTT/L072/L072008/,/TD/VTT/Long An/Đức Hòa/,,1,281,VN,Việt Nam,849,,,,,,,,,,Đức Hòa
846,L072004,Mộc Hóa,349,L072,4,/TD/VTT/L072/L072004/,/TD/VTT/Long An/Mộc Hóa/,,1,281,VN,Việt Nam,846,,,,,,,,,,Mộc Hóa
582,L072006,Cần Giuộc,349,L072,4,/TD/VTT/L072/L072006/,/TD/VTT/Long An/Cần Giuộc/,,1,281,VN,Việt Nam,582,,,,,,,,,,Cần Giuộc
422,L072012,Long Thảnh,349,L072,4,/TD/VTT/L072/L072012/,/TD/VTT/Long An/Long Thảnh/,,1,281,VN,Việt Nam,422,,,,,,,,,,Long Thảnh
1085,L072014,Thạnh Hóa,349,L072,4,/TD/VTT/L072/L072014/,/TD/VTT/Long An/Thạnh Hóa/,,1,281,VN,Việt Nam,1085,,,,,,,,,,Thạnh Hóa
845,L072003,Vĩnh Hưng,349,L072,4,/TD/VTT/L072/L072003/,/TD/VTT/Long An/Vĩnh Hưng/,,1,281,VN,Việt Nam,845,,,,,,,,,,Vĩnh Hưng
847,L072005,Tân Thạnh,349,L072,4,/TD/VTT/L072/L072005/,/TD/VTT/Long An/Tân Thạnh/,,1,281,VN,Việt Nam,847,,,,,,,,,,Tân Thạnh
843,L072001,Tân An,349,L072,4,/TD/VTT/L072/L072001/,/TD/VTT/Long An/Tân An/,,1,281,VN,Việt Nam,843,,,,,,,,,,Tân An
848,L072007,Đức Huệ,349,L072,4,/TD/VTT/L072/L072007/,/TD/VTT/Long An/Đức Huệ/,,1,281,VN,Việt Nam,848,,,,,,,,,,Đức Huệ
15481,L072016,Thị Xã Kiến Tường,349,L072,4,/TD/VTT/L072/L072016/,/TD/VTT/Long An/Thị Xã Kiến Tường/,,1,281,VN,Việt Nam,15481,,,,,,,,,,Thị Xã Kiến Tường
418,L072015,Tân Trụ,349,L072,4,/TD/VTT/L072/L072015/,/TD/VTT/Long An/Tân Trụ/,,1,281,VN,Việt Nam,418,,,,,,,,,,Tân Trụ
844,L072002,Tân Hưng,349,L072,4,/TD/VTT/L072/L072002/,/TD/VTT/Long An/Tân Hưng/,,1,281,VN,Việt Nam,844,,,,,,,,,,Tân Hưng
20054,T073DN1,Bán hàng AM Viettel Tiền Giang,335,T073,4,/TD/VTT/T073/T073DN1/,/TD/VTT/Tiền Giang/Bán hàng AM Viettel Tiền Giang/,,1,281,VN,Việt Nam,20054,,,,,,,,,,Bán hàng AM Viettel Tiền Giang
16054,T073TLS1,TLS Tiền Giang,335,T073,4,/TD/VTT/T073/T073TLS1/,/TD/VTT/Tiền Giang/TLS Tiền Giang/,,1,281,VN,Việt Nam,16054,,,,,,,,,,TLS Tiền Giang
15681,T073011,Thị Xã Cai lậy,335,T073,4,/TD/VTT/T073/T073011/,/TD/VTT/Tiền Giang/Thị Xã Cai lậy/,,1,281,VN,Việt Nam,15681,,,,,,,,,,Thị Xã Cai lậy
858,T073004,Châu Thành,335,T073,4,/TD/VTT/T073/T073004/,/TD/VTT/Tiền Giang/Châu Thành/,,1,281,VN,Việt Nam,858,,,,,,,,,,Châu Thành
861,T073007,Cái Bè,335,T073,4,/TD/VTT/T073/T073007/,/TD/VTT/Tiền Giang/Cái Bè/,,1,281,VN,Việt Nam,861,,,,,,,,,,Cái Bè
857,T073003,Tân Phước,335,T073,4,/TD/VTT/T073/T073003/,/TD/VTT/Tiền Giang/Tân Phước/,,1,281,VN,Việt Nam,857,,,,,,,,,,Tân Phước
859,T073005,Cai Lậy,335,T073,4,/TD/VTT/T073/T073005/,/TD/VTT/Tiền Giang/Cai Lậy/,,1,281,VN,Việt Nam,859,,,,,,,,,,Cai Lậy
855,T073001,Mỹ Tho,335,T073,4,/TD/VTT/T073/T073001/,/TD/VTT/Tiền Giang/Mỹ Tho/,,1,281,VN,Việt Nam,855,,,,,,,,,,Mỹ Tho
862,T073008,Gò Công Tây,335,T073,4,/TD/VTT/T073/T073008/,/TD/VTT/Tiền Giang/Gò Công Tây/,,1,281,VN,Việt Nam,862,,,,,,,,,,Gò Công Tây
860,T073006,Chợ Gạo,335,T073,4,/TD/VTT/T073/T073006/,/TD/VTT/Tiền Giang/Chợ Gạo/,,1,281,VN,Việt Nam,860,,,,,,,,,,Chợ Gạo
856,T073002,Gò Công,335,T073,4,/TD/VTT/T073/T073002/,/TD/VTT/Tiền Giang/Gò Công/,,1,281,VN,Việt Nam,856,,,,,,,,,,Gò Công
20009,B075DN1,Bán hàng AM Viettel Bến Tre,341,B075,4,/TD/VTT/B075/B075DN1/,/TD/VTT/Bến Tre/Bán hàng AM Viettel Bến Tre/,,1,281,VN,Việt Nam,20009,,,,,,,,,,Bán hàng AM Viettel Bến Tre
16009,B075TLS1,TLS Bến Tre,341,B075,4,/TD/VTT/B075/B075TLS1/,/TD/VTT/Bến Tre/TLS Bến Tre/,,1,281,VN,Việt Nam,16009,,,,,,,,,,TLS Bến Tre
891,B075008,Thạnh Phú,341,B075,4,/TD/VTT/B075/B075008/,/TD/VTT/Bến Tre/Thạnh Phú/,,1,281,VN,Việt Nam,891,,,,,,,,,,Thạnh Phú
890,B075007,Ba Tri,341,B075,4,/TD/VTT/B075/B075007/,/TD/VTT/Bến Tre/Ba Tri/,,1,281,VN,Việt Nam,890,,,,,,,,,,Ba Tri
884,B075001,Bến Tre,341,B075,4,/TD/VTT/B075/B075001/,/TD/VTT/Bến Tre/Bến Tre/,,1,281,VN,Việt Nam,884,,,,,,,,,,Bến Tre
885,B075002,Châu Thành,341,B075,4,/TD/VTT/B075/B075002/,/TD/VTT/Bến Tre/Châu Thành/,,1,281,VN,Việt Nam,885,,,,,,,,,,Châu Thành
887,B075004,Mỏ Cày Nam,341,B075,4,/TD/VTT/B075/B075004/,/TD/VTT/Bến Tre/Mỏ Cày Nam/,,1,281,VN,Việt Nam,887,,,,,,,,,,Mỏ Cày Nam
889,B075006,Bình Đại,341,B075,4,/TD/VTT/B075/B075006/,/TD/VTT/Bến Tre/Bình Đại/,,1,281,VN,Việt Nam,889,,,,,,,,,,Bình Đại
886,B075003,Chợ Lách,341,B075,4,/TD/VTT/B075/B075003/,/TD/VTT/Bến Tre/Chợ Lách/,,1,281,VN,Việt Nam,886,,,,,,,,,,Chợ Lách
888,B075005,Giồng Trôm,341,B075,4,/TD/VTT/B075/B075005/,/TD/VTT/Bến Tre/Giồng Trôm/,,1,281,VN,Việt Nam,888,,,,,,,,,,Giồng Trôm
14249,B075009,Mỏ Cày Bắc,341,B075,4,/TD/VTT/B075/B075009/,/TD/VTT/Bến Tre/Mỏ Cày Bắc/,,1,281,VN,Việt Nam,14249,,,,,,,,,,Mỏ Cày Bắc
